,赤色TNPNO,TJ,JAN,商品名,入数,箱数,在庫数,賞味期限,原価,会長原価修正,
304,651,4901111897076,4901111897076,森彦の時間　雪レギュラーコーヒー140g,12,4,48,2027/01/31,420,,1
305,652,4901588617498,4901588617498,ギンビス　アスパラガスビスケット,144,15,2160,2026/07/15,13,,1
306,653,4977856207173,4977856207173,サクサク紅しょうが揚げ大阪発,12,23,276,2026/08/08,50,,1
307,654,4969738101198,4969738101198,QUAKER INSTANT OATMEAL800g,12,13,156,2027/02/01,240,,1
308,655,4902401512730,4902401512730,ハナマルキ　海苔あおさ,6,25,150,2027/02/15,45,,1
309,656,4901734060048,4901734060048,天下一品京都濃厚鶏白湯,10,17,170,2026/11/13,90,,1
310,657,4969738101204,4969738101204,QUAKER WHOLE ROLLED OATS 800g,12,14,168,2027/02/04,240,,1
311,659,4980209111102,4980209111102,ナンプラーミニパック,72,0,0,2027/07/31,25,,1
312,660,4901108015483,4901108015483,エバラ　牛丼の素200ml,12,17,204,2027/04/24,60,,1
313,661,4902765002137,4902765002137,広島菜のだしひろし,60,4,240,2026/10/29,40,,1
314,662,49608137,49608137,エバラ　焙煎ニンニク風味だれ,12,44,528,2027/03/14,65,,1
315,663,4902955001070,4902955001070,松亀味噌天然醸造あやこがね,8,13,104,2026/09/30,145,,1
316,664,4903024251105,4903024251105,ユウキ食品　中華ドレッシング,6,0,0,2027/01/14,161,,1
317,665,4902110363609,4902110363609,マ・マー早ゆでFineFast 1.8mm,12,15,180,2028/11/21,170,,1
318,666,8801073212190,8801073212190,ブルダック炒め麺チーズ,16,4,64,2026/12/15,115,,1
319,667,4903015153524,4903015153524,YBC　ルヴァンプライムチーズサンド,12,12,144,2027/03/31,120,,1
320,668,49111279,49111279,エバラ　香味焙煎しょうゆだれ,12,34,408,2027/02/03,65,,1
321,669,4902888275234,4902888275234,森永　ミルクキャラメル純喫茶風カフェラテ味,72,10,720,2027/02/28,70,,1
322,670,658243004400,658243004400,ヨシダ　グルメソース350g,12,7,84,2027/02/13,170,,1
323,671,4964366111335,4964366111335,寺田家の有機濃口醤油300ml,10,8,80,2028/02/24,220,,1
324,672,4901155131808,4901155131808,イカリソース　お好み焼きソース,10,7,70,2028/01/31,80,,1
325,673,4902415009219,4902415009219,ブンセン　アラ！のつくだ煮30%減塩,60,12,720,2027/08/31,95,,1
326,674,4904071406340,4904071406340,永井海苔　てりやきのりNAGAI PREMIUM,6,33,198,2026/12/19,220,,1
327,675,4902371331263,4902371331263,おでんこんぶ,10,106,1060,2028/01/08,100,,1
328,676,4902880051317,4902880051317 ,桃屋の鯛みそ,24,0,0,2027/6/26,110,,1
329,677,4901990383615,4901990383615 ,マルちゃん　沖縄風焼きそばチャンプルー,12,14,168,2026/10/11,75,,1
330,678,8001010076568,8001010076568 ,イタリアポンティバルサミコクリーム,6,20,120,2027/10/1,220,,1
331,679,4901901003236,4901901003236 ,マルハニチロさば照焼き,30,14,420,2029/2/1,110,,1
332,680,4901353054022,4901353054022 ,金吾堂久助せんべい,20,18,360,2026/11/2,140,,1
333,681,4977856204530,4977856204530 ,サクサク食感なすの天ぷらだし醤油味,12,15,180,2026/8/13,200,,1
334,682,4901990168021,4901990168021 ,マルちゃんふっくらおこわ中華風３個パック,8,24,192,2026/8/11,200,,1
335,683,4901901006077,4901901006077 ,マルハニチロ　あさりしょうが煮,24,15,360,2028/6/1,115,,1
336,684,4901734053514,4901734053514 ,サッポロ一番3食パック博多純情らーめんしんしん,9,30,270,2026/10/7,140,,1
337,685,4902881439596,4902881439596 ,明星庵天ぷらそば大盛,12,49,588,2026/10/10,73,,1
338,686,4902881439596,4902881439596 ,明星庵天ぷらそば大盛,12,72,864,2026/10/10,73,,1
339,687,4901108013274,4901108013274 ,エバラプチっと鍋豆乳胡麻味,12,9,108,2027/6/23,80,,1
340,688,4901113907704,4901113907704 ,ケロッグ　素材まるごとグラノラ朝摘みいちご,6,40,240,2027/5/31,280,,1
341,689,4901336730271 ,4901336730271 ,２１枚瀬戸しおアソート,12,0,0,2026/11/30,118,,1
342,690,4901990050241,4901990050241 ,マルちゃん食べるスープホットワンタン,12,9,108,2026/11/22,60,,1
343,691,4902401512747,4902401512747,ハナマルキ すぐ旨カップとろろ昆布,6,59,354,2027/02/17,,,
344,692,4901005014275,4901005014275,グリコ　コクうま中華丼,10,12,120,2026/11/30,,,
345,693,4901037137218,4901037137218,岩塚製菓　黒豆割りせん,12,24,288,2026/08/21,,,
346,694,4901005014251,4901005014251,グリコ　コクうま牛丼,10,12,120,2026/11/30,,,
347,695,4902881459259,4902881459259,明星 一平ちゃんわさびマヨしょうゆ味,12,54,648,2026/10/03,,,
348,696,8000500359358,8000500359358,ヌテラ ビスケット,112,14,1568,2026/09/13,,,
349,697,4902110250138,4902110250138,日清製粉ウェルナ　しっとりパウンドケーキ,24,4,96,2026/07/24,,,
350,698,4902110341850,4902110341850,日清製粉　カメリアスペシャル強力小麦粉1kg,15,19,285,2026/09/10,,,
351,699,4902110326598,4902110326598,日清製粉　ママープリっと食感野菜サラダマカロニ,12,156,1872,2027/07/26,,,
352,700,4901330523848,4901330523848,カルビー　ポテトチップスBIGBAGコンソメパンチ,12,10,120,2026/12/31,,,
